CodigoUC;HorarioInicial;HorarioFinal;TipoTurno;Capacidade;Sala;Dia
J305N2;09:00;11:00;PL;100;4.15;Quinta-Feira
J304N2;10:00;12:00;T;100;2.06;Quinta-Feira
J304N3;08:00;10:00;PL;100;3.01;Segunda-Feira
J304N2;17:00;19:00;PL;30;1.02;Quarta-Feira
J305N2;12:00;14:00;TP;100;1.04;Sexta-Feira
J302N1;14:00;16:00;T;30;2.07;Quarta-Feira
J305N3;11:00;13:00;PL;100;1.18;Terça-Feira
J304N4;09:00;11:00;PL;50;2.05;Quinta-Feira
J304N3;18:00;20:00;T;100;4.08;Sexta-Feira
J304N2;14:00;16:00;PL;100;3.05;Segunda-Feira
J302N1;14:00;16:00;T;50;4.20;Segunda-Feira
J304N3;16:00;18:00;PL;100;1.05;Terça-Feira
J304N3;14:00;16:00;TP;50;5.06;Segunda-Feira
J304N2;16:00;18:00;PL;30;3.11;Segunda-Feira
J305N2;11:00;13:00;TP;50;5.07;Terça-Feira
J305N2;12:00;14:00;TP;100;1.04;Quinta-Feira
J304N4;18:00;20:00;PL;50;3.15;Terça-Feira
J305N2;12:00;14:00;PL;30;3.02;Segunda-Feira
J304N2;14:00;16:00;TP;50;5.17;Sexta-Feira
J304N4;14:00;16:00;T;50;3.19;Terça-Feira
J304N3;16:00;18:00;PL;100;1.04;Segunda-Feira
J304N4;09:00;11:00;TP;30;2.14;Terça-Feira
J304N3;16:00;18:00;TP;30;3.15;Segunda-Feira
J301N1;09:00;11:00;T;50;2.12;Quinta-Feira
J301N1;08:00;10:00;PL;30;5.03;Terça-Feira
J304N2;16:00;18:00;TP;100;3.17;Quinta-Feira
J304N4;09:00;11:00;TP;100;5.12;Terça-Feira
J305N2;17:00;19:00;TP;100;4.12;Quarta-Feira
J301N1;18:00;20:00;T;30;1.13;Quarta-Feira
J305N2;18:00;20:00;TP;50;5.14;Quarta-Feira
J304N3;13:00;15:00;PL;50;1.17;Terça-Feira
J304N2;13:00;15:00;T;30;2.16;Segunda-Feira
J302N1;10:00;12:00;T;50;4.06;Terça-Feira
J302N1;08:00;10:00;T;30;1.10;Quinta-Feira
J304N2;11:00;13:00;T;50;3.02;Sexta-Feira
J304N2;16:00;18:00;TP;30;3.18;Segunda-Feira
J305N3;10:00;12:00;TP;50;3.08;Quarta-Feira
J305N2;11:00;13:00;TP;30;4.20;Segunda-Feira
J304N3;12:00;14:00;PL;100;2.09;Ter�a-Feira
J305N2;16:00;18:00;TP;30;3.09;Quarta-Feira
J304N4;16:00;18:00;PL;30;1.09;Quinta-Feira
J304N3;10:00;12:00;TP;100;3.05;Sexta-Feira
J304N4;13:00;15:00;T;30;3.15;Quarta-Feira
J304N3;17:00;19:00;T;100;2.12;Quinta-Feira
J305N3;15:00;17:00;TP;30;2.19;Segunda-Feira
J301N1;17:00;19:00;PL;100;4.16;Ter�a-Feira
J305N2;09:00;11:00;T;30;2.09;Quarta-Feira
J304N3;16:00;18:00;TP;50;4.19;Quinta-Feira
J305N2;15:00;17:00;PL;100;2.05;Sexta-Feira
J301N1;14:00;16:00;TP;100;2.16;Segunda-Feira
J301N1;08:00;10:00;TP;30;4.11;Sexta-Feira
J304N2;11:00;13:00;T;30;1.02;Segunda-Feira
J302N1;17:00;19:00;PL;50;4.15;Ter�a-Feira
J304N2;17:00;19:00;PL;100;3.03;Quarta-Feira
J304N4;15:00;17:00;T;30;2.10;Quinta-Feira
J305N2;18:00;20:00;TP;30;2.01;Sexta-Feira
J302N1;13:00;15:00;T;30;3.17;Segunda-Feira
J305N2;14:00;16:00;TP;30;3.17;Ter�a-Feira
J304N3;12:00;14:00;TP;30;1.15;Segunda-Feira
J304N4;10:00;12:00;TP;30;4.09;Ter�a-Feira
J304N3;08:00;10:00;T;50;4.06;Quarta-Feira
J302N1;13:00;15:00;T;100;4.16;Quinta-Feira
J301N1;11:00;13:00;T;50;4.07;Sexta-Feira
J302N1;08:00;10:00;T;30;2.20;Segunda-Feira
J301N1;14:00;16:00;T;50;5.10;Ter�a-Feira
J305N3;12:00;14:00;TP;30;2.02;Segunda-Feira
J304N4;18:00;20:00;TP;30;2.05;Ter�a-Feira
J305N2;13:00;15:00;PL;50;5.09;Quarta-Feira
J304N3;12:00;14:00;TP;30;4.08;Quinta-Feira
J304N2;13:00;15:00;TP;100;3.13;Sexta-Feira
J304N3;18:00;20:00;T;100;1.01;Quinta-Feira
J304N2;11:00;13:00;T;50;1.05;Quinta-Feira
J302N1;13:00;15:00;TP;100;4.09;Segunda-Feira
J305N3;10:00;12:00;PL;50;2.09;Ter�a-Feira
J304N3;09:00;11:00;T;50;3.03;Quarta-Feira
J305N3;13:00;15:00;PL;50;4.15;Quinta-Feira
J304N4;17:00;19:00;T;50;2.12;Sexta-Feira
J302N1;13:00;15:00;TP;30;5.11;Quinta-Feira
J301N1;17:00;19:00;TP;50;1.10;Quarta-Feira
J302N1;11:00;13:00;PL;100;3.09;Segunda-Feira
J304N2;12:00;14:00;PL;50;5.04;Ter�a-Feira
J304N4;12:00;14:00;TP;100;1.05;Quarta-Feira
J304N3;13:00;15:00;PL;30;2.06;Quinta-Feira
J305N2;08:00;10:00;TP;100;1.09;Sexta-Feira
J305N2;15:00;17:00;PL;50;1.08;Ter�a-Feira
J302N1;10:00;12:00;PL;100;3.07;Sexta-Feira
J304N3;08:00;10:00;T;50;4.17;Segunda-Feira
J304N4;13:00;15:00;T;30;4.09;Ter�a-Feira
J302N1;10:00;12:00;T;30;5.08;Quarta-Feira
J304N3;14:00;16:00;TP;50;1.04;Quinta-Feira
J304N2;08:00;10:00;T;30;1.19;Sexta-Feira
J305N2;10:00;12:00;TP;30;4.12;Sexta-Feira
